name,intended_surface_type,standard_construction_type,insulation_layer,skylight_framing,material_1,material_2,material_3,material_4,material_5,material_6
U 0.72 SHGC 0.36 Simple Glazing Window,ExteriorWindow,Metal framing (all other),,,U 0.72 SHGC 0.36 Simple Glazing,,,,,
U 0.72 SHGC 0.39 Simple Glazing Window,ExteriorWindow,Metal framing (all other),,,U 0.72 SHGC 0.39 Simple Glazing,,,,,
U 0.75 SHGC 0.72 Sgl LoE (e2-.2) Clr 6mm,ExteriorWindow,Metal framing (all other),,,PYR B CLEAR 6MM,,,,,
U 0.88 SHGC 0.16 Sgl Ref-A-L Clr 6mm,ExteriorWindow,Metal framing (all other),,,REF A CLEAR LO 6MM,,,,,
U 0.88 SHGC 0.27 Sgl Elec Ref Colored 6mm,ExteriorWindow,Metal framing (all other),,,ECREF-1 COLORED 6MM,,,,,
U 0.98 SHGC 0.45 Sgl Ref-B-H Clr 6mm,ExteriorWindow,Metal framing (all other),,,REF B CLEAR HI 6MM,,,,,
U 0.98 SHGC 0.68 Sgl Ref-B-H Clr 6mm,ExteriorWindow,Metal framing (all other),,,REF B CLEAR HI 6MM,,,,,
U 1.17 SHGC 0.39 Sgl Ref-B-H Clr 6mm,ExteriorWindow,Metal framing (all other),,,REF B CLEAR HI 6MM,,,,,
U 1.17 SHGC 0.49 Sgl Ref-D Clr 6mm,ExteriorWindow,Metal framing (all other),,,REF D CLEAR 6MM,,,,,
U 1.17 SHGC 0.68 Sgl Green 3mm,ExteriorWindow,Metal framing (all other),,,GREEN 3MM,,,,,
